"año","MUNICIPIO","CÓDIGO DANE","INSTITUCION","CÓDIGO DANE SEDE","SEDE","ZONA","SECTOR","Prescolar 1","Primero","Segundo","Tercero","Cuarto","Quinto","Sexto","Séptimo","Octavo","Noveno","Décimo","Once","intr","pfc 1","pfc 2","pfc 3","pfc 4","ciclo i","ciclo ii","ciclo iii","ciclo iv","ciclo v","ciclo vi","Total IE"
"2.022","ALMEIDA","315022000196","I.E. ENRIQUE SUAREZ","315022000196","I.E. ENRIQUE SUAREZ - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"22","20","18","15","16","12",,,,,,,,,,,,"103"
"2.022","ALMEIDA","315022000197","I.E. ENRIQUE SUAREZ","115022000014","CONC URB MIX ENRIQUE SUAREZ","URBANA","OFICIAL","10","11","4","6","8","10",,,,,,,,,,,,,,,,,,"49"
"2.022","ALMEIDA","315022000198","I.E. ENRIQUE SUAREZ","215022000078","ESC EL ROSAL","RURAL","OFICIAL","1",,"1","1","4","1",,,,,,,,,,,,,,,,,,"8"
"2.022","ALMEIDA","315022000199","I.E. ENRIQUE SUAREZ","215022000086","ESC SAN CARLOS","RURAL","OFICIAL",,"3",,"1",,"1",,,,,,,,,,,,,,,,,,"5"
"2.022","ALMEIDA","315022000200","I.E. ENRIQUE SUAREZ","215022000094","ESC UMBAVITA","RURAL","OFICIAL","1","1","3","1",,"2",,,,,,,,,,,,,,,,,,"8"
"2.022","ALMEIDA","315022000201","I.E. ENRIQUE SUAREZ","215022000108","COL DE EDUC BAS MOLINOS","RURAL","OFICIAL","2","3",,"1","1","2",,,,,,,,,,,,,,,,,,"9"
"2.022","ALMEIDA","315022000202","I.E. ENRIQUE SUAREZ","215022000302","ESC BELEN JOSE SALVADOR DIAZ PERILLA","RURAL","OFICIAL","1",,"4","1","1","2",,,,,,,,,,,,,,,,,,"9"
"2.022","ALMEIDA","315022000203","I.E. ENRIQUE SUAREZ","215022000116","ESC TIBAITA","RURAL","OFICIAL","3","2","1",,,"3",,,,,,,,,,,,,,,,,,"9"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"273","244","160","197","171","104",,,,,,,,,,,,"1,149"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","115047000027","CONC KENNEDY","URBANA","OFICIAL","129","125","123","125","142","135",,,,,,,,,,,,,,,,,,"779"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000226","ESC SUSACA","RURAL","OFICIAL","3","6","2","3","7","6",,,,,,,,,,,,,,,,,,"27"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000609","ESC CORTADERAL","RURAL","OFICIAL","2","4","2","3","2","1",,,,,,,,,,,,,,,,,,"14"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000234","ESC HATOLAGUNA","RURAL","OFICIAL","4","2","7","7","3","5",,,,,,,,,,,,,,,,,,"28"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000293","ESC LOS POZOS","RURAL","OFICIAL","1","2","4","1",,"3",,,,,,,,,,,,,,,,,,"11"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000196","ESC CAJON","RURAL","OFICIAL","2","3","2","3","2","1",,,,,,,,,,,,,,,,,,"13"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000625","ESC MOHAN","RURAL","OFICIAL","1","1","3","5","1",,,,,,,,,,,,,,,,,,,"11"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000633","ESC PLAYA Y CHITAL","RURAL","OFICIAL","5","3","5","5","5","7",,,,,,,,,,,,,,,,,,"30"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000439","ESC DAITO","RURAL","OFICIAL","11","10","18","9","9","13",,,,,,,,,,,,,,,,,,"70"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000374","ESC MEDIO DE MESAS","RURAL","OFICIAL","1",,"1","2","2","1",,,,,,,,,,,,,,,,,,"7"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000188","ESC EL TOBAL","RURAL","OFICIAL","3","3",,"1","2",,,,,,,,,,,,,,,,,,,"9"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000366","ESC BUENAVISTA","RURAL","OFICIAL","2",,"1","1","5","1",,,,,,,,,,,,,,,,,,"10"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000242","ESC HATOVIEJO","RURAL","OFICIAL","4","5","5","3","3","6",,,,,,,,,,,,,,,,,,"26"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000048","ESC HIRVA","RURAL","OFICIAL",,,"1",,,"1","1",,,"2",,,,,,,,,,,,,,"5"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000650","ESC GARAGOA","RURAL","OFICIAL","7","5","6","10","14","6",,,,,,,,,,,,,,,,,,"48"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA - SEDE PRINCIPAL","RURAL","OFICIAL","2","4","1","1","3","2","1","1","4",,"2","3",,,,,,,,,,,,"28"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000587","ESC SAN JUAN DE MOMBITA","RURAL","OFICIAL",,,"4",,"1","4","1","7","2","2","1","2",,,,,,,,,,,,"26"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000421","ESC TOCUAVITA","RURAL","OFICIAL",,,,"2",,,,,,,,,,,,,,,,,,,,"2"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000579","ESC DIGANOME","RURAL","OFICIAL",,"1","1","1",,,"1","1",,,,,,,,,,,,,,,,"5"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000111","ESC LA SALINA","RURAL","OFICIAL","1",,"1",,,"2",,,,,,,,,,,,,,,,,,"4"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000510","ESC SAN ANTONIO","RURAL","OFICIAL","2","2","1","1","1","2","6",,,"1",,,,,,,,,,,,,,"16"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000544","ESC CAZADERO","RURAL","OFICIAL",,"3",,"2",,,,,,,,,,,,,,,,,,,,"5"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000102","ESC SISVACA","RURAL","OFICIAL","1","1",,"3","3","1","4",,"4","1","1","2",,,,,,,,,,,,"27"
"2.022","AQUITANIA","215047000099","I.E. REGION SUR DE AQUITANIA","215047000129","ESC VISAGUE","RURAL","OFICIAL",,"1",,,,"1",,,,,,,,,,,,,,,,,,"2"
"2.022","AQUITANIA","215047000153","I.E. SUSE","215047000153","I.E. SUSE - SEDE PRINCIPAL","RURAL","OFICIAL","10","9","12","7","12","14","38","34","34","30","27","13",,,,,,,,,,,,"240"
"2.022","AQUITANIA","215047000153","I.E. SUSE","215047000137","SEDE ALIZAL","RURAL","OFICIAL","1","3","2",,,,,,,,,,,,,,,,,,,,,"6"
"2.022","AQUITANIA","215047000153","I.E. SUSE","215047000218","SEDE DEL UPIA","RURAL","OFICIAL","2","4","4","3","2","1",,,,,,,,,,,,,,,,,,"16"
"2.022","AQUITANIA","215047000153","I.E. SUSE","215047000412","SEDE SAN JOSE","RURAL","OFICIAL","4","3","4","3","5","2",,,,,,,,,,,,,,,,,,"21"
"2.022","AQUITANIA","215047000153","I.E. SUSE","215047000617","SEDE BARRANCO AMARILLO","RURAL","OFICIAL",,,"1",,"1",,,,,,,,,,,,,,,,,,,"2"
"2.022","AQUITANIA","215047000153","I.E. SUSE","215047000641","SEDE ZAPATERO","RURAL","OFICIAL","2","2","2","1","1",,,,,,,,,,,,,,,,,,,"8"
"2.022","AQUITANIA","215047000153","I.E. SUSE","215047000668","SEDE LA LAJA","RURAL","OFICIAL","1","7","5","4","2","6",,,,,,,,,,,,,,,,,,"25"
"2.022","AQUITANIA","215047000170","I.E. TOQUILLA","215047000170","I.E. TOQUILLA - SEDE PRINCIPAL","RURAL","OFICIAL","7","4","5","7","5","6","11","19","18","14","11","15",,,,,,,,,,,,"122"
"2.022","AQUITANIA","215047000170","I.E. TOQUILLA","215047000200","SEDE SORIANO","RURAL","OFICIAL","1","1",,"2","2",,,,,,,,,,,,,,,,,,,"6"
"2.022","AQUITANIA","215047000170","I.E. TOQUILLA","215047000251","SEDE CORRAL DE PIEDRA","RURAL","OFICIAL","2","1","2",,"2",,,,,,,,,,,,,,,,,,,"7"
"2.022","AQUITANIA","215047000170","I.E. TOQUILLA","215047000463","SEDE LOS COLORADOS","RURAL","OFICIAL","3","2","1","3","1","4",,,,,,,,,,,,,,,,,,"14"
"2.022","AQUITANIA","215047000170","I.E. TOQUILLA","215047000595","SEDE ALIZAL","RURAL","OFICIAL","1","2",,,"1",,,,,,,,,,,,,,,,,,,"4"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT - SEDE PRINCIPAL","URBANA","OFICIAL","58","60",,,,,"121","116","111","83","94","65",,,,,,,,,,,,"708"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","115051000015","COLONIA ESCOLAR JOSE JOAQUIN CASTRO MARTINEZ","URBANA","OFICIAL",,,"57","62","61","66",,,,,,,,,,,,,,,,,,"246"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000052","ESC QUIRVAQUIRA I","RURAL","OFICIAL","13","13","6","8","7","8",,,,,,,,,,,,,,,,,,"55"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000176","ESC QUIRVAQUIRA II","RURAL","OFICIAL","1","3","3","4","5","4",,,,,,,,,,,,,,,,,,"20"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000061","ESC RUPAVITA","RURAL","OFICIAL","2","2","1","2",,"4",,,,,,,,,,,,,,,,,,"11"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000079","ESC PEÑAS BLANCAS","RURAL","OFICIAL","4","3","6","3","1","4",,,,,,,,,,,,,,,,,,"21"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000109","ESC ALCAPARROS","RURAL","OFICIAL","3","2","4",,"2","3",,,,,,,,,,,,,,,,,,"14"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000117","ESC CABECERAS","RURAL","OFICIAL",,"4",,"1","1","3",,,,,,,,,,,,,,,,,,"9"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000087","ESC MONTE SUAREZ","RURAL","OFICIAL","4","3","1","3","3","1",,,,,,,,,,,,,,,,,,"15"
"2.022","ARCABUCO","115051000155","I.E. TECNICO ALEJANDRO DE HUMBOLDT","215051000168","ESC QUEMADOS","RURAL","OFICIAL","1","1",,"2",,"5",,,,,,,,,,,,,,,,,,"9"
"2.022","BELEN","115087000011","I.E. TECNICA SUSANA GUILLEMIN","115087000011","I.E. TECNICA SUSANA GUILLEMIN - SEDE PRINCIPAL","URBANA","OFICIAL","34","45","48","40","60","47","79","79","93","82","97","61",,,,,,,,,,,,"765"
"2.022","BELEN","115087000011","I.E. TECNICA SUSANA GUILLEMIN","215087000130","ESC CARACOLES","RURAL","OFICIAL","1","5","2","2","4","2",,,,,,,,,,,,,,,,,,"16"
"2.022","BELEN","115087000011","I.E. TECNICA SUSANA GUILLEMIN","215087000253","ESC ALTO DE CANUTOS","RURAL","OFICIAL","13","11","5","3","7","12",,,,,,,,,,,,,,,,,,"51"
"2.022","BELEN","115087000011","I.E. TECNICA SUSANA GUILLEMIN","215087000211","ESCUELA MONTERREDONDO","RURAL","OFICIAL",,,,"1",,,,,,,,,,,,,,,,,,,,"1"
"2.022","BELEN","115087000011","I.E. TECNICA SUSANA GUILLEMIN","215087000156","ESC EL BOSQUE","RURAL","OFICIAL","1",,,"2",,"1",,,,,,,,,,,,,,,,,,"4"
"2.022","BELEN","115087000011","I.E. TECNICA SUSANA GUILLEMIN","215087000075","ESC SAN LUIS","RURAL","OFICIAL",,"1","1","1",,"2",,,,,,,,,,,,,,,,,,"5"
"2.022","BELEN","115087000011","I.E. TECNICA SUSANA GUILLEMIN","215087000041","ESC LA DONACION","RURAL","OFICIAL",,"2",,"1","1",,,,,,,,,,,,,,,,,,,"4"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"59","40","58","37","49","28",,,,,,,,,,,,"271"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","115087000038","SECCION PRIMARIA","URBANA","OFICIAL","35","29","25","41","29","27",,,,,,,,,,,,,,,,,,"186"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000059","ESC MONTERO","RURAL","OFICIAL",,"1","1","1",,,,,,,,,,,,,,,,,,,,"3"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000164","ESC SAN JOSE DE LA MONTAÑA","RURAL","OFICIAL","2",,"1","4","1","4","2","12","6","4","7","7",,,,,,,,,,,,"50"
"2.022","CHISCAS","215180000051","I.E. LAS CAÑAS","215180000417","ESC BETAVEBA","RURAL","OFICIAL",,,"2",,"2",,,,,,,,,,,,,,,,,,,"4"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000199","ESC EL CARRIZAL","RURAL","OFICIAL","2",,"3",,,"1",,,,,,,,,,,,,,,,,,"6"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000148","ESC TUATE BAJO","RURAL","OFICIAL","2","4",,"2","2",,,,"2","5",,,,,,,,,,,,,,"17"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000067","ESC LA VENTA","RURAL","OFICIAL","2","2","1",,"1","1",,,,,,,,,,,,,,,,,,"7"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000105","PEDRO PASCASIO MARTINEZ","RURAL","OFICIAL","1","1","1","1",,,,,,,,,,,,,,,,,,,,"4"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000121","ESC TUATE ALTO","RURAL","OFICIAL","3",,"2",,"1",,,,,,,,,,,,,,,,,,,"6"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000091","ESC TIRINQUITA","RURAL","OFICIAL","1","4","1","2","1","3",,,,,,,,,,,,,,,,,,"12"
"2.022","BELEN","115087000208","I.E. TECNICA CARLOS ALBERTO OLANO VALDERRAMA","215087000261","ESC LA MILAGROSA","RURAL","OFICIAL","2",,"1",,,"2",,,,,,,,,,,,,,,,,,"5"
"2.022","BERBEO","315090000064","I.E. CAMPO ELIAS CORTES","315090000064","I.E. CAMPO ELIAS CORTES - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"27","23","21","19","28","24",,,,,,,,,,,,"142"
"2.022","BERBEO","315090000064","I.E. CAMPO ELIAS CORTES","115090000014","SECCION PRIMARIA","URBANA","OFICIAL","10","12","13","12","10","13",,,,,,,,,,,,,,,,,,"70"
"2.022","BERBEO","315090000064","I.E. CAMPO ELIAS CORTES","215090000043","ESC JOTAS","RURAL","OFICIAL","1","1","1","1","1","2",,,,,,,,,,,,,,,,,,"7"
"2.022","BERBEO","315090000064","I.E. CAMPO ELIAS CORTES","215090000027","ESC BATATAL BAJO","RURAL","OFICIAL","2","2","1",,"2","2",,,,,,,,,,,,,,,,,,"9"
"2.022","BERBEO","315090000064","I.E. CAMPO ELIAS CORTES","215090000116","ESC AGUA BLANCA","RURAL","OFICIAL","1","1","1","2",,"1",,,,,,,,,,,,,,,,,,"6"
"2.022","BERBEO","315090000064","I.E. CAMPO ELIAS CORTES","215090000051","ESC RODEO","RURAL","OFICIAL","1","3",,"1","6","4",,,,,,,,,,,,,,,,,,"15"
"2.022","BERBEO","315090000064","I.E. CAMPO ELIAS CORTES","215090000035","ESC BOMBITA","RURAL","OFICIAL",,,"1",,"2","1",,,,,,,,,,,,,,,,,,"4"
"2.022","BETEITIVA","215092000041","I.E. TECNICA NUESTRA SEÑORA DE LA O","215092000041","I.E. TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL","RURAL","OFICIAL","7","5","5","8","9","6","13","15","9","4","15","10",,,,,,,,,,,,"106"
"2.022","BETEITIVA","215092000041","I.E. TECNICA NUESTRA SEÑORA DE LA O","215092000024","ESC RURAL LAS PUENTES","RURAL","OFICIAL",,"1","1",,"1","1",,,,,,,,,,,,,,,,,,"4"
"2.022","BETEITIVA","215092000041","I.E. TECNICA NUESTRA SEÑORA DE LA O","215092000083","ESC RURAL SOIQUÍA","RURAL","OFICIAL","1","2","1","3","2","4",,,,,,,,,,,,,,,,,,"13"
"2.022","BETEITIVA","215092000105","I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA","215092000105","I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA - SEDE PRINCIPAL","URBANA","OFICIAL","1","5","3",,"6","4","14","11","13","11","7","6",,,,,,,,,,,,"81"
"2.022","BETEITIVA","215092000105","I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA","215092000091","ESC RURAL BUNTIA","RURAL","OFICIAL","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,"6"
"2.022","BETEITIVA","215092000105","I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA","215092000067","ESC RURAL DIVAQUIA","RURAL","OFICIAL",,,"2","1",,"1",,,,,,,,,,,,,,,,,,"4"
"2.022","BETEITIVA","215092000105","I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA","215092000075","ESC RURAL SAURCA","RURAL","OFICIAL","3","1","1","2","1","2",,,,,,,,,,,,,,,,,,"10"
"2.022","BETEITIVA","215092000105","I.E. TECNICO AGROPECUARIO SANTA RITA DE CASIA","215092000059","ESC RURAL VILLA FRANCA","RURAL","OFICIAL","2","1","1","1","3","3",,,,,,,,,,,,,,,,,,"11"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","115097000028","I.E. TECNICO AGRICOLA - SEDE PRINCIPAL","URBANA","OFICIAL","2","9","9","5","6","6","14","21","17","14","25","15",,,,,,,,,,,,"143"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000065","ESC RURAL CUALATA","RURAL","OFICIAL","1",,,"2","1","2",,,,,,,,,,,,,,,,,,"6"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000103","ESC RURAL EL TUNAL","RURAL","OFICIAL","2",,"1","2","1","1",,,,,,,,,,,,,,,,,,"7"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000324","ESC RURAL EL RODEO","RURAL","OFICIAL","1",,"1","2",,"1",,,,,,,,,,,,,,,,,,"5"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000120","ESC RURAL CACHAVITA","RURAL","OFICIAL","1",,,"1","1",,,,,,,,,,,,,,,,,,,"3"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000341","ESC RURAL EL GUAMITO","RURAL","OFICIAL","1",,,"1",,"1",,,,,,,,,,,,,,,,,,"3"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000073","ESC RURAL CABRERITA","RURAL","OFICIAL",,"2","2","1","2",,,,,,,,,,,,,,,,,,,"7"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000286","ESC SAN FRANCISCO","RURAL","OFICIAL","1","3","1","2",,"5","14","5","6","9",,,,,,,,,,,,,,"46"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000219","ESC RURAL CHULAVITA","RURAL","OFICIAL","1","2","2","1","1",,,,,,,,,,,,,,,,,,,"7"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000189","ESC RURAL SACACHOVA ALTO","RURAL","OFICIAL",,"1","1","2",,"1",,,,,,,,,,,,,,,,,,"5"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000081","ESC RURAL LAGUNILLAS","RURAL","OFICIAL","3","3","3","1","3","1",,,,,,,,,,,,,,,,,,"14"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000090","ESC RURAL LAS MINAS","RURAL","OFICIAL","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,"6"
"2.022","BOAVITA","115097000028","I.E. TECNICO AGRICOLA","215097000243","ESC RURAL EL CABUYAL","RURAL","OFICIAL","2","1","2",,"2",,,,,,,,,,,,,,,,,,,"7"
"2.022","BOAVITA","115097000036","I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO","115097000036","I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO - SEDE PRINCIPAL","URBANA","OFICIAL","20","26","15","25","22","17","19","27","23","36","41","15",,,,,,,,,,,,"286"
"2.022","BOAVITA","115097000036","I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO","215097000057","ESC RURAL LA PUERTA","RURAL","OFICIAL",,"5","4","1","1","2",,,,,,,,,,,,,,,,,,"13"
"2.022","BOAVITA","115097000036","I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO","215097000235","ESC RURAL EL MELONAL","RURAL","OFICIAL","1","5","1","3","5","3",,,,,,,,,,,,,,,,,,"18"
"2.022","BOAVITA","115097000036","I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO","215097000171","ESC RURAL LA ESTRELLA","RURAL","OFICIAL",,,"2","1",,"1",,,,,,,,,,,,,,,,,,"4"
"2.022","BOAVITA","115097000036","I.E. TECNICA Y ACADEMICA NUESTRA SEÑORA DEL ROSARIO","215097000294","ESC RURAL EL CARMELO","RURAL","OFICIAL","1",,"1",,,,,,,,,,,,,,,,,,,,,"2"
"2.022","BOAVITA","115097000265","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE","115097000265","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE - SEDE PRINCIPAL","URBANA","OFICIAL","20","19","20","18","24","21","49","31","42","30","30","27",,,,,,,,,,,,"331"
"2.022","BOAVITA","115097000265","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE","215097000227","ESC RIO DE ARRIBA","RURAL","OFICIAL","1","3","4","5","2","6",,,,,,,,,,,,,,,,,,"21"
"2.022","BOAVITA","115097000265","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE","215097000197","ESC RURAL LA CABRERA","RURAL","OFICIAL","1","1","1","1",,,,,,,,,,,,,,,,,,,,"4"
"2.022","BOAVITA","115097000265","I.E. TECNICO INDUSTRIAL MARISCAL SUCRE","215097000332","ESC RURAL LA ESMERALDA","RURAL","OFICIAL",,"1",,,"2","2",,,,,,,,,,,,,,,,,,"5"
"2.022","BOYACA","115104000128","I.E. DE BOYACA","115104000128","I.E. DE BOYACA - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"35","47","46","67","45","33",,,,,,,,,,,,"273"
"2.022","BOYACA","115104000128","I.E. DE BOYACA","115104000012","CONC KENNEDY","URBANA","OFICIAL","21","23","16","31","21","24",,,,,,,,,,,,,,,,,,"136"
"2.022","BOYACA","115104000128","I.E. DE BOYACA","215104000025","ESC VANEGA NORTE","RURAL","OFICIAL","2","1","3","4","1","4",,,,,,,,,,,,,,,,,,"15"
"2.022","BOYACA","115104000128","I.E. DE BOYACA","215104000076","ESC PACHAQUIRA","RURAL","OFICIAL",,"6","4","1","3","4",,,,,,,,,,,,,,,,,,"18"
"2.022","BOYACA","115104000128","I.E. DE BOYACA","215104000106","ESC RUPAGUATA","RURAL","OFICIAL","1","1","1",,"3","1",,,,,,,,,,,,,,,,,,"7"
"2.022","BOYACA","115104000128","I.E. DE BOYACA","215104000131","ESC SIRAQUITA","RURAL","OFICIAL","3","2",,"1","1","3",,,,,,,,,,,,,,,,,,"10"
"2.022","BOYACA","115104000128","I.E. DE BOYACA","215104000068","ESC RIQUE","RURAL","OFICIAL","2","1","2","4","2","3",,,,,,,,,,,,,,,,,,"14"
"2.022","BOYACA","215104000092","I.E. TECNICA AGROPECUARIA SAN ISIDRO","215104000092","I.E. TECNICA AGROPECUARIA SAN ISIDRO - SEDE PRINCIPAL","RURAL","OFICIAL","18","15","16","22","19","22","26","31","17","32","16","21",,,,,,,,,,,,"255"
"2.022","BOYACA","215104000092","I.E. TECNICA AGROPECUARIA SAN ISIDRO","215104000084","ESC HUERTAS N· 2","RURAL","OFICIAL",,"1","1","4",,,,,,,,,,,,,,,,,,,,"6"
"2.022","BOYACA","215104000092","I.E. TECNICA AGROPECUARIA SAN ISIDRO","215104000041","ESC SOCONZAQUE OCCIDENTE","RURAL","OFICIAL","1",,"1",,"3",,,,,,,,,,,,,,,,,,,"5"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"45","37","34","40","21","16",,,,,,,,,,,,"193"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","115106000010","CONC URB","URBANA","OFICIAL","10","15","10","9","18","13",,,,,,,,,,,,,,,,,,"75"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","215106000103","ESC RURAL MORAY BAJO","RURAL","OFICIAL",,,"3","3","1","5",,,,,,,,,,,,,,,,,,"12"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","215106000154","ESC JORGE ARMANDO QUIROGA","RURAL","OFICIAL","1","4","1","2","1","1",,,,,,,,,,,,,,,,,,"10"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","215106000111","ESC DIAMANTE","RURAL","OFICIAL","3","5","1","4","1",,,,,,,,,,,,,,,,,,,"14"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","215106000081","ESC PALO BLANCO","RURAL","OFICIAL","1","1","3",,"2","1",,,,,,,,,,,,,,,,,,"8"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","215106000138","ESC BUENAVISTA ALTO","RURAL","OFICIAL","2","1","1",,"4","2",,,,,,,,,,,,,,,,,,"10"
"2.022","BRICEÑO","315106000124","I.E. TECNICA MANUEL BRICEÑO","215106000022","ESC MINACHAL","RURAL","OFICIAL",,,,"1",,"2",,,,,,,,,,,,,,,,,,"3"
